t,cur_e0, cur_e1, cur_e2, cur_e3,cur_wx, cur_wy, cur_wz,cur_x, cur_y, cur_z,cur_vx, cur_vy, cur_vz,t_pred,input_1, input_2, input_3, input_4,pred_e0, pred_e1, pred_e2, pred_e3,pred_wx, pred_wy, pred_wz,pred_x, pred_y, pred_z,pred_vx, pred_vy, pred_vz
1.08,0.999884,-0.0151359,-0.000344962,-0.0015828,0.00393156,0.000111094,-0.000990535,0.0501363,-0.00273066,-0.00844713,0.00357234,0.00593155,0.0148118,1.1,43.6967,0.0208787,0.0133239,-0.101502,0.999884,-0.0151162,-0.000344513,-0.00158776,7.17464,3.04733,-19.9426,0.050172,-0.00267134,-0.00829901,0.0036917,0.000303169,-0.0729797
1.1,0.999884,-0.0151108,-0.000347294,-0.00159109,0.00326577,-0.00135364,-0.000857391,0.0502781,-0.00272295,-0.00844279,0.00368448,0.00425148,0.0146906,1.12,42.4071,0.0197766,-0.0208522,-0.0644624,0.999885,-0.0150944,-0.000354152,-0.00159527,6.97164,-3.89939,-12.6372,0.0503149,-0.00268043,-0.00829588,0.00380113,-0.00120173,-0.0676161
1.12,0.999884,-0.0151354,-0.000338525,-0.00159194,-0.00166257,-0.00068661,0.000740468,0.0506585,-0.00285086,-0.00854179,0.00389095,0.00100909,0.0141531,1.14,43.1607,0.00104386,-0.00622068,-0.0718094,0.999884,-0.0151437,-0.000341888,-0.00158819,3.22507,-0.95859,-14.0608,0.0506975,-0.00284077,-0.00840026,0.00400644,-0.00455007,-0.0713587
1.14,0.999884,-0.0151571,-0.000338266,-0.00159596,0.00166799,0.00131202,-0.00165636,0.0509443,-0.00299566,-0.00863071,0.00385201,0.00141812,0.0144265,1.16,38.6571,0.0136588,0.0120573,-0.0685064,0.999884,-0.0151487,-0.000331845,-0.00160434,5.74674,2.69086,-13.3449,0.0509829,-0.00298148,-0.00848644,0.00395533,-0.0035681,-0.0519298
1.16,0.999884,-0.0151493,-0.000332673,-0.00159385,0.00220062,0.00131202,0.000607322,0.0510112,-0.0030267,-0.00864675,0.0038536,0.00169991,0.014468,1.18,43.4327,-0.00986585,0.00297994,-0.0749334,0.999884,-0.0151383,-0.000326085,-0.00159091,1.04231,0.886338,-14.6565,0.0510497,-0.0030097,-0.00850207,0.00396763,-0.00389942,-0.0722007
1.18,0.999884,-0.0151428,-0.000338346,-0.00157764,0.000469562,0.000646232,0.00220522,0.0511446,-0.0030805,-0.00866598,0.00392918,0.00207802,0.0147491,1.2,43.3604,0.01328,0.0182303,-0.103452,0.999884,-0.0151405,-0.000334952,-0.00156666,5.65448,4.0308,-20.3182,0.0511839,-0.00305972,-0.00851849,0.00404521,-0.00350962,-0.0716122
1.2,0.999884,-0.0151422,-0.00032842,-0.0015669,0.00260009,0.00117886,0.00233838,0.0513452,-0.00315086,-0.00867247,0.00452905,0.00229824,0.0147367,1.22,41.9947,0.0270151,0.0241539,-0.0811873,0.999884,-0.0151292,-0.000322369,-0.0015553,8.40594,5.15022,-15.8509,0.0513905,-0.00312788,-0.0085251,0.00463794,-0.00311317,-0.0658158
1.22,0.999884,-0.0151168,-0.000317753,-0.00154731,0.00166799,0.000246759,0.000607329,0.0517373,-0.00326624,-0.00861002,0.00451716,0.00190497,0.0146468,1.24,42.3061,0.0324247,-0.0150748,-0.0898489,0.999885,-0.0151084,-0.000316486,-0.00154429,9.49233,-2.66939,-17.7059,0.0517824,-0.00324719,-0.00846355,0.00462313,-0.00353741,-0.0672304
1.24,0.999885,-0.0151109,-0.000313667,-0.00153767,0.00166799,0.000912548,0.00247154,0.0518012,-0.0032869,-0.00859197,0.00461489,0.00169938,0.0146432,1.26,41.8845,0.00908612,0.0196012,-0.0559184,0.999885,-0.0151025,-0.000308931,-0.00152538,4.82421,4.1543,-10.8162,0.0518474,-0.00326991,-0.00844553,0.0047184,-0.00368665,-0.0654409
1.26,0.999885,-0.015116,-0.000314992,-0.00153744,-0.00112655,-0.000419673,8.18503e-05,0.0518648,-0.00330893,-0.00857162,0.00458784,0.00145973,0.0145951,1.28,40.6285,0.0178193,0.00215368,-0.0890302,0.999884,-0.0151216,-0.000317075,-0.001537,6.56789,0.768313,-17.4911,0.0519107,-0.00329434,-0.00842567,0.00468871,-0.00376657,-0.0601468
1.28,0.999885,-0.0151206,-0.000286675,-0.00152952,7.1869e-05,0.000778751,-5.1303e-05,0.052268,-0.00346279,-0.00839956,0.00594569,0.000335549,0.0144134,1.3,45.824,0.00910467,0.024629,-0.0377639,0.999884,-0.0151203,-0.000282786,-0.00152984,4.83195,5.09955,-7.17208,0.0523275,-0.00345943,-0.00825543,0.00604846,-0.00556086,-0.0824267
1.3,0.999885,-0.0151002,-0.000287635,-0.00153716,-0.000460287,0.000647281,0.00114711,0.0526188,-0.00363039,-0.00836349,0.00584167,0.000103947,0.0139679,1.32,38.1238,-0.0213984,-0.011776,-0.0222043,0.999885,-0.0151024,-0.000284308,-0.00153147,-1.25847,-2.23693,-4.16728,0.0526772,-0.00362935,-0.00822381,0.00592745,-0.00479499,-0.0501205
